0,1,2,3,4,5,6,7,8,9,10
chile,Atacama,"Freirina, Atacama",7577.0,3578.0,2.0,4.0,3788.5,1894.25,894.5,SEMIDESIERTO
chile,Atacama,"Huasco, Atacama",9369.0,1601.0,3.0,3.0,3123.0,3123.0,533.6666667,SEMIDESIERTO
chile,Atacama,"Tierra Amarilla, Atacama",11846.0,11191.0,2.0,5.0,5923.0,2369.2,2238.2,SEMIDESIERTO
chile,Atacama,"Vallenar, Atacama",54222.0,7084.0,6.0,9.0,9037.0,6024.666667,787.1111111,SEMIBOSQUE
chile,Aysén,"Aysén, Aysén",23170.0,29796.0,4.0,10.0,5792.5,2317.0,2979.6,SEMIBOSQUE
chile,Aysén,"Chile Chico, Aysén",4905.0,5737.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Aysén,"Cisnes, Aysén",5137.0,16093.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Aysén,"Cochrane, Aysén",3458.0,8599.0,1.0,1.0,3458.0,3458.0,8599.0,SEMIDESIERTO
chile,Aysén,"Coyhaique, Aysén",57823.0,7290.0,8.0,25.0,7227.875,2312.92,291.6,BOSQUE
chile,Aysén,"Guaitecas, Aysén",1598.0,620.0,1.0,1.0,1598.0,1598.0,620.0,SEMIDESIERTO
chile,Aysén,"Lago Verde, Aysén",779.0,5422.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Aysén,"O'Higgins, Aysén",647.0,8182.0,1.0,3.0,647.0,215.6666667,2727.333333,SEMIDESIERTO
chile,Aysén,"Río Ibáñez, Aysén",2723.0,5997.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Aysén,"Tortel, Aysén",585.0,19710.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"Alto Biobío, Biobío",6016.0,2125.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"Antuco, Biobío",4373.0,1884.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"Arauco, Biobío",37163.0,956.0,3.0,4.0,12387.66667,9290.75,239.0,SEMIDESIERTO
chile,Biobío,"Cabrero, Biobío",31256.0,640.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"Cañete, Biobío",34640.0,760.0,4.0,5.0,8660.0,6928.0,152.0,SEMIBOSQUE
chile,Biobío,"Chiguayante, Biobío",85822.0,72.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"Concepción, Biobío",230275.0,222.0,23.0,174.0,10011.95652,1323.41954,1.275862069,BOSQUE
chile,Biobío,"Contulmo, Biobío",5905.0,962.0,1.0,1.0,5905.0,5905.0,962.0,SEMIDESIERTO
chile,Biobío,"Coronel, Biobío",123648.0,279.0,3.0,4.0,41216.0,30912.0,69.75,SEMIBOSQUE
chile,Biobío,"Curanilahue, Biobío",31119.0,994.0,5.0,9.0,6223.8,3457.666667,110.4444444,SEMIBOSQUE
chile,Biobío,"Florida, Biobío",12958.0,609.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"Hualpén, Biobío",87731.0,54.0,1.0,1.0,87731.0,87731.0,54.0,DESIERTO
chile,Biobío,"Hualqui, Biobío",25795.0,531.0,1.0,1.0,25795.0,25795.0,531.0,DESIERTO
chile,Biobío,"Laja, Biobío",23706.0,340.0,3.0,3.0,7902.0,7902.0,113.3333333,SEMIDESIERTO
chile,Biobío,"Lebu, Biobío",25246.0,561.0,3.0,3.0,8415.333333,8415.333333,187.0,SEMIDESIERTO
chile,Biobío,"Los Álamos, Biobío",21950.0,599.0,1.0,2.0,21950.0,10975.0,299.5,SEMIDESIERTO
chile,Biobío,"Los Ángeles, Biobío",219441.0,1748.0,10.0,31.0,21944.1,7078.741935,56.38709677,BOSQUE
chile,Biobío,"Lota, Biobío",39980.0,136.0,2.0,8.0,19990.0,4997.5,17.0,SEMIBOSQUE
chile,Biobío,"Mulchén, Biobío",29036.0,1925.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
chile,Biobío,"Nacimiento, Biobío",26140.0,935.0,1.0,1.0,26140.0,26140.0,935.0,DESIERTO
chile,Biobío,"Negrete, Biobío",10723.0,157.0,0.0,0.0,0.0,0.0,0.0,DESIERTO
